id;nome;cpf;saldoinicial;status
1;payment conglomeration orchestration;56846709084;86049;Direct
2;Iraq Cambridgeshire navigating;85108837695;80273;Unbranded
3;Manager Credit Card Account;90450128098;85649;Stand-alone intranet parse
4;cross-platform mobile;55314275459;45505;Unbranded Rubber Pizza Rand Loti
5;Ford connect;62253462034;99913;payment Pants Iran
6;Savings Account deposit;99819051148;4854;Rubber withdrawal
7;Buckinghamshire systematic;2363300534;22970;Data withdrawal
8;Automotive Forks Functionality;16108611133;87299;Personal Loan Account Regional
9;interactive one-to-one;18784848065;71002;disintermediate Florida dynamic
10;open-source program;91774969711;46755;Tennessee Fall
